Unnamed: 0,Dados,Frase do usuário,Intenção,sentenceWithoutStopWord
325,2021-04-14 18:50:03 +00:00,onde encontrar assistencia tecnica recife,None,onde encontrar assistencia tecnica recife
326,2021-03-31 11:51:12 +00:00,claudia proconlages sc,None,claudia proconlages sc
332,2021-03-25 16:38:39 +00:00,famenzwseawwhwwwawwwaa assad ,None,famenzwseawwhwwwawwwaa assad
338,2021-03-18 09:19:33 +00:00,essa prancha e fabricada no polo de manaus oi italia? ,None,prancha fabricada polo manaus italia
345,2021-03-19 19:26:07 +00:00,cupom,None,cupom
346,2021-03-20 13:31:34 +00:00,garantia ,None,garantia
351,2021-04-03 20:39:49 +00:00,pecas de reposicao,None,pecas reposicao
354,2021-03-23 09:55:47 +00:00,meu secador nao esta funcionando ,None,secador funcionando
356,2021-03-29 01:13:28 +00:00,oi boa noite,None,noite
358,2021-03-19 15:50:39 +00:00,sdvvsdvsd,None,sdvvsdvsd
362,2021-04-13 12:11:33 +00:00,gostaria de saber quabnndo a maquina de corte barber style vai estar disponivel?,None,gostaria quabnndo maquina corte barber style disponivel
369,2021-03-25 17:06:20 +00:00,reparo,None,reparo
371,2021-04-12 17:58:06 +00:00,foi entregue agora,None,entregue
375,2021-04-04 15:26:48 +00:00,ponta grossa parana,None,ponta grossa parana
382,2021-03-22 12:59:13 +00:00,tempo de garantia,None,garantia
395,2021-04-05 02:32:31 +00:00,maquina de corte gc625 ,None,maquina corte
398,2021-04-15 11:34:43 +00:00,prancha para usar em redutora,None,prancha redutora
407,2021-04-16 17:16:53 +00:00,o secador parou de funcionar,None,secador parou funcionar
412,2021-03-30 22:10:00 +00:00,telefone ,None,telefone
417,2021-03-20 11:35:13 +00:00,nao consigo falar no 08007244262 ,None,consigo falar
418,2021-03-19 15:58:09 +00:00,dsvdvsvsvsd,None,dsvdvsvsvsd
422,2021-04-13 18:09:26 +00:00,manual da prancha alisadora gama elegance keration ion,None,manual prancha alisadora gama elegance keration ion
425,2021-03-30 13:28:34 +00:00,preciso de autorizada ,None,preciso autorizada
432,2021-04-17 02:41:52 +00:00,diferenca dos secadores 4d rose e do marcos proenca?,None,diferenca secadores rose marcos proenca
435,2021-03-29 02:28:26 +00:00,lojas parceiras,None,lojas parceiras
438,2021-04-17 17:13:55 +00:00,ola gostaria de saber sore valor do frete ,None,gostaria sore frete
442,2021-04-12 18:07:56 +00:00,salvador,None,salvador
444,2021-03-17 10:07:36 +00:00,secador,None,secador
447,2021-04-14 15:35:30 +00:00,autorizado ,None,autorizado
449,2021-03-26 14:06:57 +00:00,duvida,None,duvida
450,2021-04-05 13:51:43 +00:00,𝙳𝚎𝚟𝚘𝚕𝚞𝚌𝚊𝚘,None,devolucao
454,2021-03-22 12:58:00 +00:00,hdfhdfhfdhff,None,hdfhdfhfdhff
455,2021-04-05 18:07:10 +00:00,ja fiz o pagamento,None,pagamento
460,2021-03-30 21:09:59 +00:00,"boa tarde, tenho um secador gama eleganza 2200 e se quebrou a helice ",None,secador gama eleganza quebrou helice
468,2021-03-28 04:51:02 +00:00,"comprei um kit da linha gama italy sensation, em menos de duas semanas o secador parou de funcionar e a chapinha esta comecando a nao funciona tambem , e nao consigo entrar em contato com a assistencia da minha cidade ",None,comprei kit linha gama italy sensation semanas secador parou funcionar chapinha comecando funciona tambem consigo entrar contato assistencia cidade
469,2021-04-16 01:32:12 +00:00,ola qual a melhor a zero ou a fade ,None,qual melhor fade
470,2021-03-18 00:21:50 +00:00,assistencia ,None,assistencia
476,2021-04-13 19:49:30 +00:00,procuro uma assistencia tecnica em aracaju ,None,procuro assistencia tecnica aracaju
479,2021-03-19 21:50:56 +00:00,rrhgerh ,None,rrhgerh
481,2021-03-30 21:10:22 +00:00,assistencia em cachoeirinha ,None,assistencia cachoeirinha
482,2021-03-19 13:19:09 +00:00,adadaad,None,adadaad
484,2021-03-31 02:24:28 +00:00,qual maquina de corte vc tem sem fio?,None,qual maquina corte vc fio
488,2021-03-20 13:32:11 +00:00,quanto tempo de garantia a maquina gbs tem ?,None,garantia maquina gbs
493,2021-03-20 13:37:28 +00:00,garantia sobre a maquina ,None,garantia maquina
497,2021-03-30 16:19:18 +00:00,autorizada,None,autorizada
500,2021-03-30 13:28:05 +00:00,oi bom dia estou tentando contato com as autorizadas e nao consigo ou fala que nao trabalha mais com garantia gama ,None,tentando contato autorizadas consigo fala trabalha garantia gama
514,2021-04-14 13:09:37 +00:00,"ola, gostariamos de ser representante ",None,gostariamos representante
518,2021-03-21 23:46:47 +00:00,rastreio,None,rastreio
522,2021-04-08 17:09:46 +00:00,desconto,None,desconto
523,2021-04-07 16:50:57 +00:00,a maquina nao esta funcionando ,None,maquina funcionando
531,2021-03-18 00:37:26 +00:00,ola boa noite ,None,noite
534,2021-03-26 20:47:08 +00:00,"ola nao estou conseguindo assistencia tecnica na minha regiao, joinville sc ainda esta na garantia minha escova modeladora ",None,conseguindo assistencia tecnica regiao joinville sc garantia escova modeladora
538,2021-04-05 00:08:19 +00:00,informacao,None,informacao
539,2021-03-30 22:10:11 +00:00,contato,None,contato
548,2021-03-28 04:51:24 +00:00,parou de funcionar,None,parou funcionar
555,2021-04-05 16:24:41 +00:00,preciso de um assistencia tecnica autorizada em manaus ,None,preciso assistencia tecnica autorizada manaus
558,2021-04-12 01:24:55 +00:00,telefone de contato,None,telefone contato
560,2021-04-16 12:17:10 +00:00,gostaria de saber qual o valor da chapinha infinity model,None,gostaria qual chapinha infinity model
566,2021-03-19 01:13:31 +00:00,potencia maquina gama italy pro 7.6,None,potencia maquina gama italy pro
571,2021-04-16 14:19:45 +00:00,a gama vende pente de maquina? avulso?,None,gama vende pente maquina avulso
572,2021-04-06 21:30:39 +00:00,codigo de rastreio,None,codigo rastreio
573,2021-04-02 11:58:35 +00:00,"quero uma prancha com laser a melhor que tenho , de todas as quecomprei e deixa os cabelos lindos e realmente lisos, com um preco acessivel na epoca era uma com laser tenho procurado, mas nao encontro mais tem alguma para m indicar com laser?",None,prancha laser melhor quecomprei deixa cabelos lindos realmente lisos preco acessivel epoca laser procurado encontro alguma m indicar laser
575,2021-04-04 23:06:14 +00:00,tem pentes para gama pro 8,None,pentes gama pro
583,2021-04-12 19:52:44 +00:00,quero uma informacao sobre assistencia tecnica,None,informacao assistencia tecnica
585,2021-04-10 16:17:58 +00:00,sou lojista e quero o contato do representante ou vendedor da paraiba,None,lojista contato representante vendedor paraiba
586,2021-03-22 20:28:55 +00:00,qual a diferenca entre a prancha elegance led keration pro ceramica ions 230° e a elegance led titan keratin? ,None,qual diferenca prancha elegance led keration pro ceramica ions elegance led titan keratin
595,2021-04-02 19:35:26 +00:00,gostaria de saber a temperatura maxima da minha gama ph a ncha ,None,gostaria temperatura maxima gama ph ncha
599,2021-04-04 15:25:58 +00:00,onde tem assistencia tecnica,None,onde assistencia tecnica
603,2021-03-19 13:13:04 +00:00,vsdsdv,None,vsdsdv
606,2021-03-17 17:43:42 +00:00,revenda ,None,revenda
607,2021-04-01 22:30:45 +00:00,o secador glow 3d possui termostato?,None,secador glow possui termostato
611,2021-03-19 18:30:09 +00:00,gregergerg ,None,gregergerg
612,2021-03-22 20:17:36 +00:00,qual a diferenca entre a prancha elegance led keration pro ceramica ions 230° e a elegance led titan keratin?,None,qual diferenca prancha elegance led keration pro ceramica ions elegance led titan keratin
616,2021-04-02 19:36:54 +00:00,p 589551 ipx4 bivolt 50 -60 hz 36 - 41 watts,None,p bivolt hz watts
618,2021-04-13 17:46:29 +00:00,vendempecas separadas?,None,vendempecas separadas
623,2021-04-12 22:29:17 +00:00,essa maquina pro 9 e boa ?,None,maquina pro
628,2021-03-27 22:46:40 +00:00,preciso se uma assistencia ,None,preciso assistencia
634,2021-04-16 20:44:40 +00:00,assitencia tecnica ,None,assitencia tecnica
635,2021-04-04 15:19:33 +00:00,voces vendem pente da maquina de cortar cabelo gaa ytaly gm580,None,vendem pente maquina cortar cabelo gaa ytaly
639,2021-03-28 11:24:11 +00:00,sera que conseguimos reduzir a data de entrega?,None,sera conseguimos reduzir data entrega
644,2021-04-03 04:44:26 +00:00,caracteristicas prancha g-evo evoluzione iht,None,caracteristicas prancha evoluzione iht
650,2021-03-19 13:02:45 +00:00,alguma previsao da escova modeladora turbo ion 3000 ,None,alguma previsao escova modeladora turbo ion
656,2021-03-26 20:47:25 +00:00,assistencia tecnica em joinville sc,None,assistencia tecnica joinville sc
657,2021-03-19 17:38:44 +00:00,gergergrrege,None,gergergrrege
658,2021-04-10 15:32:44 +00:00,ja terminei obrigada,None,terminei
664,2021-03-26 16:59:46 +00:00,boa tarde vcs vendem somente a peca que tem o motor do barbeador gsh950? meu aparelho queimou,None,vcs vendem peca motor barbeador aparelho queimou
673,2021-04-04 15:24:58 +00:00,boa tardetenho um aparelho de aparar pelos que caiu no chao e quebrou onde encaixa o parafuso ela nao esta mais na garantia gostaria de saber sentem como trocar a parte de tras do aparelho se na vdd ele tem conserto,None,tardetenho aparelho aparar caiu chao quebrou onde encaixa parafuso garantia gostaria sentem como trocar tras aparelho vdd conserto
678,2021-04-16 12:16:24 +00:00,qual o valor da infinity model?,None,qual infinity model
679,2021-04-02 01:16:25 +00:00,qual a garantia do secador ,None,qual garantia secador
681,2021-04-10 17:00:06 +00:00,"ola, comprei um secador dessa marca e ele nao parou de funcionar como procedo? esta no prazo de garantia ",None,comprei secador marca parou funcionar como procedo prazo garantia
683,2021-04-05 00:08:42 +00:00,peca de reposicao,None,peca reposicao
685,2021-04-16 14:37:40 +00:00,pente gama,None,pente gama
687,2021-03-30 16:18:57 +00:00,assistencia tecnica em maceio ,None,assistencia tecnica maceio
694,2021-04-03 04:44:39 +00:00,prancha g-evo evoluzione iht,None,prancha evoluzione iht
700,2021-04-10 02:17:19 +00:00,cancelar,None,cancelar
704,2021-03-30 20:17:15 +00:00,entrega,None,entrega
720,2021-04-11 03:59:11 +00:00,vcs vendem cerdas d escova gama 2300,None,vcs vendem cerdas d escova gama
723,2021-03-20 19:13:48 +00:00,o numero de vc ,None,numero vc
726,2021-03-31 02:24:00 +00:00,ola qual maquina de corte profissional vc tem sem fio,None,qual maquina corte profissional vc fio
728,2021-04-06 13:51:39 +00:00,"a lamina que faz a barba, assim que fui retirar da maquina, desprendeu todas as partes perdendo sua funcionalidde",None,lamina barba retirar maquina desprendeu partes perdendo funcionalidde
729,2021-04-13 11:20:11 +00:00,gostaria q me indicasse ummodelo de chapinha,None,gostaria q indicasse ummodelo chapinha
735,2021-04-06 18:55:54 +00:00,prancha lumina duo tourmaline,None,prancha lumina duo tourmaline
736,2021-04-17 14:07:27 +00:00,mru bsnco so credita o pagamneto apos a validade do boleto,None,mru bsnco credita pagamneto apos validade boleto
741,2021-04-13 17:46:07 +00:00,gostaria de saber se vcs vende pentes da maquina separados?,None,gostaria vcs vende pentes maquina separados
743,2021-04-16 10:22:08 +00:00,peso do massageador,None,peso massageador
746,2021-03-30 22:09:04 +00:00,endereco ,None,endereco
756,2021-04-02 15:42:45 +00:00,qual secador substitui o gama pluma 4500,None,qual secador substitui gama pluma
757,2021-03-25 22:01:13 +00:00,prancha sensi 4 d,None,prancha sensi d
760,2021-03-27 17:19:42 +00:00,bom gostaria de saber o valor de uns itens em atacado,None,gostaria itens atacado
762,2021-03-30 23:54:13 +00:00,"ola, qual e a temperatura maxima dela?",None,qual temperatura maxima dela
763,2021-04-12 17:55:44 +00:00,assistencia,None,assistencia
765,2021-03-20 13:40:03 +00:00,atraso na entrega atraso na entrega ,None,atraso entrega atraso entrega
766,2021-04-02 19:34:24 +00:00,nenhuma delas,None,delas
771,2021-04-17 10:56:56 +00:00,qual o peso desse secador? ,None,qual peso secador
778,2021-04-05 19:18:31 +00:00,gbs finish,None,gbs finish
784,2021-03-22 21:14:11 +00:00,quero a bateria da balanca fit care,None,bateria balanca fit care
793,2021-04-02 14:59:23 +00:00,wesley gonzaga sarra nela com fuzil na bandoleira ,None,wesley gonzaga sarra nela fuzil bandoleira
803,2021-03-18 21:56:10 +00:00,reembolso na verdade,None,reembolso verdade
811,2021-03-17 10:07:24 +00:00,bom dia! preciso de orientacao para escolha de secador de cabelos ,None,preciso orientacao escolha secador cabelos
821,2021-04-15 13:25:09 +00:00,ola! qual a diferenca da maquina smooth e a maquina fade?,None,qual diferenca maquina smooth maquina fade
840,2021-04-17 10:58:37 +00:00,secador bella turmalina ion,None,secador bella turmalina ion
843,2021-04-08 12:49:37 +00:00,nao quero receber emails da gama,None,receber emails gama
848,2021-04-14 15:36:11 +00:00,autorizada bh,None,autorizada bh
850,2021-04-13 12:10:56 +00:00,gostaria de saber quando a mauina de corte barber style estara disponivel ,None,gostaria mauina corte barber style estara disponivel
857,2021-04-01 14:21:51 +00:00,minha escova nao quer funciona ,None,escova funciona
860,2021-03-28 11:24:37 +00:00,entrega rapida,None,entrega rapida
866,2021-03-29 15:20:56 +00:00,peso do secador?,None,peso secador
868,2021-04-15 11:47:45 +00:00,ja esta disponivel o secador bivolt ?,None,disponivel secador bivolt
871,2021-03-25 08:13:31 +00:00,brinde,None,brinde
875,2021-04-10 16:17:20 +00:00,quero contato do representante paraiba,None,contato representante paraiba
882,2021-05-03 17:42:37 +00:00,quero codigo barras para pagar,None,codigo barras pagar
885,2021-05-09 03:20:23 +00:00,"a roupa que preciso nao esta no site, e esta disponivel no instagram ",None,roupa preciso site disponivel instagram
886,2021-04-19 17:03:26 +00:00,"n#1124862542914-01 produtocalca skinny jeans wee! azul escuro - 56 statusentregue valor totalr$97,10",None,produtocalca skinny jeans wee azul escuro statusentregue
888,2021-04-12 11:51:18 +00:00,mascaras infantil virablock,None,mascaras infantil virablock
893,2021-04-01 13:10:12 +00:00,pessimo assistente ,None,pessimo assistente
896,2021-04-14 13:44:00 +00:00,eu quero blusa de frio ,None,blusa frio
907,2021-05-17 00:32:53 +00:00,atacado,None,atacado
912,2021-05-06 12:33:29 +00:00,possui loja no itaim bibi?,None,possui loja itaim bibi
916,2021-05-14 18:21:28 +00:00,composicao ,None,composicao
931,2021-03-29 21:55:17 +00:00,preciso de contato telefonico,None,preciso contato telefonico
938,2021-03-30 13:00:10 +00:00,referencia comercial,None,referencia comercial
942,2021-04-01 19:48:35 +00:00,numero ,None,numero
947,2021-05-13 10:25:32 +00:00,nao consigo acessar minha conta,None,consigo acessar conta
950,2021-05-12 17:12:23 +00:00,vou receber pelos correios? ,None,vou receber correios
951,2021-03-26 22:07:53 +00:00,reembolso ,None,reembolso
953,2021-05-13 15:35:43 +00:00,calca tradicional e calca reta,None,calca tradicional calca reta
954,2021-04-22 16:49:16 +00:00,cupom de desconto invalido,None,cupom desconto invalido
958,2021-04-24 21:49:25 +00:00,sao 5 produtos ,None,sao produtos
960,2021-05-06 20:47:47 +00:00,meias,None,meias
965,2021-05-11 05:25:44 +00:00,"gostaria que tem app da marca? se tiver, por qual nome procurar? obrigado ",None,gostaria app marca tiver qual nome procurar
978,2021-04-29 22:53:29 +00:00,marquei sem querer a opcao de agendamento e nao consigo cancelar,None,marquei querer opcao agendamento consigo cancelar
984,2021-03-15 16:56:51 +00:00,camisetas regatas masculinas ,None,camisetas regatas masculinas
985,2021-04-21 16:56:38 +00:00,taxa de entrega,None,taxa entrega
987,2021-04-12 13:49:40 +00:00,fone contato,None,fone contato
994,2021-03-11 17:50:12 +00:00,"ja recebi codigo de postagem,",None,recebi codigo postagem
998,2021-04-18 22:17:06 +00:00,calca moletom para meninotamanha 10,None,calca moletom meninotamanha
4,2021-05-14 14:23:31 +00:00,o que faco pra ser uma revendedora ,None,faco pra revendedora
12,2021-04-17 19:58:09 +00:00,ola boa tarde vcs vendem infantil atacado ?? ,None,vcs vendem infantil atacado
16,2021-04-24 23:06:08 +00:00,boa noite! ,None,noite
24,2021-03-30 22:53:58 +00:00,composicao do vestido infantil azul marinho navy,None,composicao vestido infantil azul marinho navy
29,2021-04-10 02:18:40 +00:00,alguma l oja com drive thru,None,alguma l oja drive thru
31,2021-04-21 13:28:26 +00:00,que site mais enrolado!,None,site enrolado
49,2021-04-14 09:57:13 +00:00,tamanho p,None,tamanho p
53,2021-04-25 22:56:41 +00:00,e o numero da calca nao e 40 e sim 42,None,numero calca
59,2021-05-11 15:19:17 +00:00,preciso da autorizacao dos correios protocolo 18754833,None,preciso autorizacao correios protocolo
64,2021-03-12 20:51:30 +00:00,nao consegui fazer login,None,consegui login
70,2021-04-20 00:04:22 +00:00,nao quero estornar tudo.,None,estornar
72,2021-04-01 17:17:38 +00:00,minha marca,None,marca
74,2021-05-03 15:14:28 +00:00,nao consigo pagar,None,consigo pagar
76,2021-05-11 18:36:28 +00:00,"ola, qual e o contato para iniciar contato com fornecedores? ",None,qual contato contato fornecedores
77,2021-04-08 16:14:35 +00:00,meu cpf e edleuza ramos calvacante,None,cpf edleuza ramos calvacante
86,2021-04-07 17:15:50 +00:00,tem atacado?,None,atacado
91,2021-04-13 00:15:21 +00:00,gostaria de saber se tem vestido tamanho 18,None,gostaria vestido tamanho
92,2021-04-15 11:53:33 +00:00,mas n era p ser boleto,None,n p boleto
96,2021-04-23 13:59:41 +00:00,nao tem o comprimento,None,comprimento
111,2021-04-21 14:40:25 +00:00,a calca de moletom e 100%algodao? ,None,calca moletom
113,2021-05-12 11:46:47 +00:00,mercadoria extraviada,None,mercadoria extraviada
116,2021-04-08 21:42:31 +00:00,cancelamento,None,cancelamento
119,2021-05-10 05:39:25 +00:00,blusas basicas ,None,blusas basicas
121,2021-05-08 23:47:00 +00:00,composicao,None,composicao
123,2021-05-04 12:31:29 +00:00,chave acesso invalida,None,chave acesso invalida
147,2021-05-12 16:32:24 +00:00,referente a descontos,None,referente descontos
148,2021-05-04 00:22:05 +00:00,atacado como funciona?? ,None,atacado como funciona
149,2021-04-21 18:14:54 +00:00,gostaria de saber quando elaestiver disponivel nessa cor,None,gostaria elaestiver disponivel cor
156,2021-04-19 16:31:55 +00:00,danfe e nota fiscal eletronica,None,danfe nota fiscal eletronica
165,2021-03-27 03:48:09 +00:00,medidas das camisetas masculinas,None,medidas camisetas masculinas
169,2021-04-29 17:45:55 +00:00,atacado ,None,atacado
170,2021-03-23 16:14:04 +00:00,vestido regata meia malha adulto,None,vestido regata meia malha adulto
178,2021-05-17 14:32:29 +00:00,novo boleto,None,boleto
192,2021-04-24 02:24:49 +00:00,modelo usa qual tamanho blusa riba na?,None,modelo qual tamanho blusa riba
194,2021-04-05 03:27:10 +00:00,cupom ,None,cupom
195,2021-04-11 23:49:07 +00:00,o que seria meia malha e malha ?,None,meia malha malha
198,2021-03-30 10:22:11 +00:00,solicitar reembolso,None,solicitar reembolso
200,2021-04-22 17:03:36 +00:00,gostaria ser revendedora ,None,gostaria revendedora
203,2021-03-29 20:13:02 +00:00,protocolo,None,protocolo
225,2021-04-30 19:03:46 +00:00,"gostaria de saber se tem representante para santa cruz da baixa verde, pernambuco?",None,gostaria representante santa cruz baixa verde pernambuco
226,2021-04-27 19:12:28 +00:00,preciso da nota fiscal que nao foi enviada,None,preciso nota fiscal enviada
233,2021-04-28 20:09:58 +00:00,em campinas ,None,campinas
235,2021-05-07 03:17:04 +00:00,loja fisica,None,loja fisica
246,2021-05-17 16:41:30 +00:00,08166169738. tinha digitado errado,None,tinha digitado errado
292,2021-04-20 01:16:02 +00:00,endereco loja mogi guacu ,None,endereco loja mogi guacu
301,2021-04-30 16:25:12 +00:00,camprar no atacado para revenda,None,camprar atacado revenda
303,2021-04-22 14:43:45 +00:00,boleto,None,boleto
321,2021-05-17 19:30:59 +00:00,gostaria da imagem pdf do arquivo que esta anexado nuno protocolo 0018743238,None,gostaria imagem pdf arquivo anexado nuno protocolo
328,2021-04-16 16:03:17 +00:00,frete nordeste,None,frete nordeste
338,2021-04-19 14:31:02 +00:00,erro na mercadoria,None,erro mercadoria
341,2021-04-19 20:20:11 +00:00,ratreamento,None,ratreamento
343,2021-05-03 14:12:34 +00:00,"ola, quando o site voltara a oferecer mascaras infantils",None,site voltara oferecer mascaras infantils
345,2021-03-11 18:09:12 +00:00,obgda,None,obgda
358,2021-03-29 21:03:22 +00:00,ganhei uma camiseta dry e ja no primeiro uso ficou manchada da borracha do crossfit nao consigo tirar por nada so nao tentei agua morna por medo de estragar pode me ajudar? ,None,ganhei camiseta dry uso ficou manchada borracha crossfit consigo tirar agua morna medo estragar ajudar
361,2021-04-26 22:35:15 +00:00,tem uma roupa com erro na estampa,None,roupa erro estampa
367,2021-05-12 20:04:48 +00:00,distribuicao,None,distribuicao
369,2021-03-28 18:14:13 +00:00,"boa tarde, gostaria de saber se a blusa infantil viroblock vem com a mascara? ",None,gostaria blusa infantil viroblock mascara
372,2021-04-04 12:24:07 +00:00,preciso de boleto,None,preciso boleto
376,2021-04-18 23:51:15 +00:00,preciso efetuar o pagamento ,None,preciso efetuar pagamento
378,2021-04-12 16:37:43 +00:00,frente de vcs e muito caro,None,frente vcs caro
380,2021-04-08 00:33:35 +00:00,nao estou conseguindo me logar no site,None,conseguindo logar site
392,2021-04-22 17:28:40 +00:00,mascara infantil,None,mascara infantil
397,2021-04-19 15:00:32 +00:00, envio parcial com ressarcimento,None,envio parcial ressarcimento
429,2021-05-17 16:57:22 +00:00,gostaria de saber se pode me mandar o codigo de barras quando saio e descubro o codigo que mandam nao consigo mais acessar outra vez quero o codigo de barras.,None,gostaria mandar codigo barras saio descubro codigo mandam consigo acessar codigo barras
436,2021-05-03 16:51:00 +00:00,mascara infantil com anti viral,None,mascara infantil anti viral
438,2021-04-04 11:23:01 +00:00,faltou,None,faltou
446,2021-05-01 23:09:13 +00:00,boa noite!!!! ,None,noite
449,2021-04-13 23:35:29 +00:00,lojas,None,lojas
454,2021-04-22 15:50:45 +00:00,extorno,None,extorno
459,2021-04-12 23:21:30 +00:00,porque foi cancelado ,None,cancelado
465,2021-03-23 11:18:59 +00:00,tabela medida,None,tabela medida
469,2021-04-25 19:44:02 +00:00,o pagamento ja foi aprovado?,None,pagamento aprovado
477,2021-05-17 19:53:09 +00:00,preco de camiseta basica de algodao de manga curta ,None,preco camiseta basica algodao manga curta
481,2021-05-17 11:49:54 +00:00,onde encontrar pra revenda,None,onde encontrar pra revenda
483,2021-04-01 13:09:21 +00:00,nao consigo fechar,None,consigo fechar
487,2021-03-29 14:35:32 +00:00,voces tem whatsapp?,None,whatsapp
502,2021-04-20 03:43:19 +00:00,rastreamento,None,rastreamento
504,2021-04-15 13:27:20 +00:00,fiz um estorno e so voltou uma parte,None,estorno voltou
